,topic,url,section
0,"민주 ""증거도 없이 이재명 재소환 왜 했나…검찰 악랄한 탄압""",https://n.news.naver.com/mnews/article/421/0007046766?sid=100,정치
1,"김정은, 어제 새벽 러시아 도착…“북러 관계 전략적 중요성 대한 뚜렷한 표현”",https://n.news.naver.com/mnews/article/056/0011564900?sid=100,정치
2,"권익위 “호화 논란 감사원장·대법원장 공관, 법령 위반 아냐”",https://n.news.naver.com/mnews/article/056/0011565063?sid=100,정치
3,중대범죄 피의자 머그샷 공개법 국회 법사위 소위 통과,https://n.news.naver.com/mnews/article/437/0000359237?sid=100,정치
4,"尹 ""초거대 AI 선도 위해 민·관 과감한 투자해야""…원팀 강조",https://n.news.naver.com/mnews/article/277/0005313679?sid=100,정치
5,"김기현, 오늘 대구 찾아 박근혜 전 대통령 예방",https://n.news.naver.com/mnews/article/003/0012086462?sid=100,정치
6,"박정훈 前 해병대 수사단장, 14일 공수처 출석…‘외압 의혹’ 본격 조사 들어간다",https://n.news.naver.com/mnews/article/009/0005185470?sid=100,정치
7,"김정은 방러 직전, 푸틴은 ‘정제유 물량공세’…무기 거래 '미끼'로 사용했나",https://n.news.naver.com/mnews/article/025/0003307514?sid=100,정치
8,"윤 대통령, 오늘 2차 개각…국방 · 문체 · 여가장관 교체",https://n.news.naver.com/mnews/article/055/0001089362?sid=100,정치
9,"與, 김어준-주진우-최경영 고발…“윤석열 명예 크게 훼손”",https://n.news.naver.com/mnews/article/016/0002197016?sid=100,정치
10,"""손주 학원비 그까이꺼""…'황혼 육아'에 지갑 여는 노인들 [조미현의 Fin코노미]",https://n.news.naver.com/mnews/article/015/0004891273?sid=101,경제
11,방문규 후보자 “첨단산업 초격차…원전 생태계 복원 조기 완성”,https://n.news.naver.com/mnews/article/030/0003135409?sid=101,경제
12,"추경호 ""한국 첨단산업·아프리카 잠재력 결합하면 강력한 연대""",https://n.news.naver.com/mnews/article/001/0014189185?sid=101,경제
13,8월 취업자 26만 8천 명 증가…제조업 8개월째 감소,https://n.news.naver.com/mnews/article/055/0001089350?sid=101,경제
14,“원유 재고 감소 전망” 미 보고서에 유가 급등…브렌트유 92달러,https://n.news.naver.com/mnews/article/056/0011564881?sid=101,경제
15,"“보험 가입하면 현금 지급”…금감원, 불법 영업 보험설계사 대거 적발",https://n.news.naver.com/mnews/article/366/0000931634?sid=101,경제
16,"특례보금자리론, 27일부터 소득 1억·집값 6억 넘으면 이용 못한다",https://n.news.naver.com/mnews/article/008/0004937774?sid=101,경제
17,"파리바게뜨, 美서 흑자 달성..이달 중 북미 매장 150개로 확대",https://n.news.naver.com/mnews/article/014/0005071804?sid=101,경제
18,"이형식 경북도의원, 농지 취득 규제 완화 촉구",https://n.news.naver.com/mnews/article/081/0003392644?sid=101,경제
19,"현대차·기아 김창환전무, 한국인 첫 세계자동차공학회연합 회장",https://n.news.naver.com/mnews/article/001/0014189064?sid=101,경제
