paper,title,datetime,writing,writer
뉴스1,"민주 ""증거도 없이 이재명 재소환 왜 했나…검찰 악랄한 탄압""",2023.09.13. 오전 10:33,"""범죄자 낙임찍기 반복해…검찰이 국기문란 진원지""정청래 ""이재명 중심으로 똘똘뭉쳐 이재명 지켜내자""    13일 오전 서울 여의도 국회에서 열린 더불어민주당 최고위원회의에서 이재명 대표 자리가 비어 있다. 이날 단식 14일차를 맞은 이 대표는 최고위에 불참했다. 2023.9.13/뉴스1 ⓒ News1 황기선 기자(서울=뉴스1) 전민 이서영 기자 = 더불어민주당은 13일 수원지검의 이재명 대표 전날(12일) 재소환에 대해 ""증거도 없이 왜 재소환을 했느냐""며 격된 반응을 나타냈다.박찬대 민주당 최고위원은 이날 오전 국회 본관에서 열린 최고위원회의에서 ""정적을 제거하기 위한 윤석열 검찰의 비열하고 악랄한 탄압이 계속되고 있다""고 비판했다.이 대표는 전날 쌍방울 그룹 대북송금 의혹과 관련해 두 번째로 검찰에 출석했다. 약 1시간50분간 진행된 조사 이후 이 대표는 ""오늘 왜 불렀는지 모르겠다. (검찰이) 역시 증거는 하나도 제시 못했다""며 ""형식적인 질문을 하기 위해 두 차례나 이렇게 소환해서 심문하는 게 도저히 납득이 되지 않는다. 사실이 아닌 증거라는 게 있을 수 없고 사실이 아니다""라고 검찰을 비판했다. 단식투쟁 14일째인 이날 이 대표는 건강악화로 최고위에 불참했다.박 최고위원은 ""(검찰이)물증없는 터무니없는 수사를 감추려 특정 언론에 공무상기밀누설까지 행하는 범죄자 낙인찍기를 반복하고 있다""며 ""검찰이 오히려 불법을 일삼고 있으니 검찰이야말로 국기문란의 진원지""라고 지적했다.정청래 최고위원은 고(故) 김대중 전 대통령의 내란음모사건과 노무현 전 대통령에 대한 탄핵 시도를 언급하며 ""김대중 죽이기와 노무현 죽이기에 맞서 싸웠듯이 이재명 죽이기에 대해 이재명을 중심으로 똘똘 뭉쳐 싸우는 게 급선무""라며 ""독재정권에 맞서 민주주의를 지켜내고 이재명을 지켜내자""고 말했다.서영교 최고위원은 ""수원지검과 윤석열 정권, 검찰총장, 법무부장관은 역사에 죄를 지었다. 증거 하나 없이 왜 부른 것이냐""며 ""국민 앞에 창피하지 않나. 체포영장을 발부하기 위한 알리바이인가""라고 반문했다.장경태 최고위원은 ""검찰은 자신이 있으면 재판에서 입증하라. 더 이상 망신주기와 모욕주기로 국민을 현혹할 수 없다""며 ""공작수사는 친일에 못지 않은 부역이자 청산대상""이라고 했다.","전민 기자 (min785@news1.kr),이서영 기자 (seol@news1.kr)"
KBS,"김정은, 어제 새벽 러시아 도착…“북러 관계 전략적 중요성 대한 뚜렷한 표현”",2023.09.13. 오전 7:17,"북한 매체도 김정은 북한 국무위원장이 어제(12일) 새벽 러시아 하산에 도착했다고 공식 발표했습니다.북한 관영매체 조선중앙통신은 오늘(13일) 김 위원장이 탄 전용열차가 어제(12일) 새벽 6시쯤 러시아의 국경도시 하산에 도착했다고 보도했습니다.  하산역에서 러시아 정부 관계자들을 만난 김 위원장은 ""2019년에 이어 4년 만에 또다시 로씨야(러시아)를 방문하게 된 것을 기쁘게 생각한다""며 ""세계적인 공공보건 사태 이후 첫 해외 방문으로 로씨야 연방에로의 길에 오른 것은 조로(북러) 관계의 전략적 중요성에 대한 우리 당과 정부의 중시 입장을 보여주는 뚜렷한 표현으로 된다""고 밝혔습니다. 그러면서 ""중앙과 지방의 지도간부들이 국경역에서부터 열정적이며 따뜻한 친선의 정을 안고 맞이해준데 대하여 깊은 사의""를 표하며 ""조선민주주의인민공화국(북한)을 대표하여 로씨야 연방 대통령과 정부 그리고 로씨야 군대와 인민에게 축원의 인사""를 보냈다고 통신은 전했습니다. 알렉산드르 코즐로프 러시아 천연자원부 장관과 올레그 코제먀코 연해주 주지사 등이 김 위원장을 맞았습니다.  이들은 ""김정은 동지를 영접하기 위하여 뿌찐(푸틴) 대통령이 자기들을 국경역에 직접 파견하였다""며 ""로씨야 정부와 인민이 김정은 동지의 이번 방문이 의의있게 진행되기를 바라며 최대의 성심을 다하고 있다""고 말했습니다.  통신은 또, ""영접 간부들은 로씨야를 또다시 방문하시는 경애하는 김정은 동지께 로씨야 연방 대통령 뿌찐 동지가 보내는 인사를 전하면서 김정은 동지를 로씨야 인민의 가장 친근한 벗으로 열렬히 환영하였다""고 전했습니다.  하산역에 도착한 김 위원장을 환영하는 행사도 열렸습니다. 러시아 육·해·공군 명예위병대장이 김 위원장에게 영접 보고를 한 뒤, 김 위원장은 위병대를 사열했습니다.  이후, ""경애하는 김정은 동지께서는 로씨야 간부들의 환송을 받으시며 방문지로 출발하시였다""며 김 위원장이 다음 목적지로 이동했다고 통신은 덧붙였습니다. 앞서 러시아 매체 RBK는 어제(12일) 김 위원장이 하산역에 도착해 알렉산드르 코즐로프 천연자원부 장관 등 러시아 관리들의 환영을 받는 영상을 처음 공개했습니다.[사진 출처 : 연합뉴스 / 평양 조선중앙통신]■ 제보하기▷ 전화 : 02-781-1234, 4444▷ 이메일 : kbs1234@kbs.co.kr▷ 카카오톡 : 'KBS제보' 검색, 채널 추가▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",이수민 (waterming@kbs.co.kr)
KBS,"권익위 “호화 논란 감사원장·대법원장 공관, 법령 위반 아냐”",2023.09.13. 오전 9:59,"'호화 논란'이 일었던 감사원장과 대법원장의 공관 수리와 관련해, 권익위가 법령 위반이 아니라고 판단했습니다. 국민권익위원회는 오늘(13일) 정부서울청사에서 브리핑을 통해 이 같이 밝혔습니다. 권익위는 먼저 최재해 감사원장이 사는 공관의 조명 교체와 화장실 보수 등은 시설이 낡아 수리한 것으로, 예산 낭비로 보기 어렵다고 판단했습니다. 또 감사원이 공관 개보수를 위해 구매할 물품을 자산취득비가 아닌 일반수용비로 구매했다는 의혹에 대해선 지난 4월 감사원이 자체 점검 뒤 관련 부서에 주의 조치를 했고, 구매 물품을 관리대장에 등재해 관리하고 있어 감사원에 재산상 손해를 입힌 게 아니라고 봤습니다. 권익위는 김명수 대법원장의 공관 의혹에 대한 조사 결과도 발표했습니다. 김 대법원장이 현직 판사인 아들 부부에게 공관을 무상 거주하게 하는 등 '사적 사용' 의혹이 있다는 신고에 대해선, 검찰이 수사 후 각하 처리했고 사회 통념상 결혼한 자녀의 가족과 함께 거주하는 형태를 이례적인 것으로 보기 어렵다고 밝혔습니다. 또 고액의 공관 리모델링을 지시해 예산을 부적정하게 전용하고 손자의 놀이터를 대법원 예산으로 설치했다는 의혹에 대해선 경찰 조사 결과 각하 처리됐고, 감사원이 감사 뒤 법원행정처장에게 주의 조치했다고 설명했습니다. 또 손자 놀이터는 김 대법원장이 본인 돈으로 설치한 게 확인됐다고 덧붙였습니다. 이와 함께 김 대법원장의 며느리가 소속 회사 법무팀 관계자들과 공관에서 만찬을 해 공물을 사적으로 사용하고 특혜를 제공했다는 의혹에 대해서는, 통상적인 공관의 사용이며 사회 상규에 따라 허용되는 행위로 보이고 특혜 제공의 동기가 없어 공무원 행동강령 위반으로 보기 어렵다고 판단했습니다. 정승윤 부위원장은 오늘 브리핑에서 ""이번 조사를 진행하면서 헌법기관장과 중앙행정기관장의 공관 운영에 관한 명확한 규정이 필요하다는 결론을 냈다""고 말했습니다. 이어 ""감사원장 공관 등은 건물 면적이 크고 요리사, 청소직원 등이 함께 거주하며 모두 정부 예산으로 운영된다""며 국민 눈높이에 맞는 규정이 필요하다고 강조했습니다. 더불어민주당은 지난 3월, 최재해 감사원장이 취임 이후 공관 개·보수에 예산을 과다 사용하고 쪼개기 계약을 하는 등 부패행위가 있었다며 권익위에 신고했습니다. 김 대법원장 관련 의혹도 지난 4월 신고가 접수돼 권익위가 조사를 진행해 왔습니다.김 대법원장 아들 부부는 2018년 1월부터 2019년 4월까지 대법원장 공관에 살았는데, 아들 부부가 2017년 9월 서울 신반포 아파트 청약에 당첨된 뒤 고가의 분양대금 마련을 위해 공관에 입주한 것 아니냐는 의혹이 제기됐고, 검찰 수사 결과 무혐의 처분됐습니다.■ 제보하기▷ 전화 : 02-781-1234, 4444▷ 이메일 : kbs1234@kbs.co.kr▷ 카카오톡 : 'KBS제보' 검색, 채널 추가▷ 네이버, 유튜브에서 KBS뉴스를 구독해주세요!",김영은 (paz@kbs.co.kr)
JTBC,중대범죄 피의자 머그샷 공개법 국회 법사위 소위 통과,2023.09.12. 오후 4:56,"중대범죄 피의자의 이른바 '머그샷(범인 식별용 얼굴 촬영사진)'을 공개하는 법안이 국회 법제사법위원회 소위원회를 통과한 것으로 확인됐습니다.   12일 국회에 따르면 여야는 특정강력범죄 처벌법 개정안을 발의했습니다. 이 개정안은 신상공개가 결정된 시점으로부터 30일 이내 피의자 모습을 공개하거나, 경찰이 수사과정에서 피의자의 사진이나 영상을 촬영해 활용할 수 있도록 했습니다.   이 개정안이 국회 법사위 소위를 통과하면서 앞으로 법사위 전체회의를 거쳐 본회의를 통과할지 관심을 끌고 있습니다.   이른바 머그샷 공개법이 논란이 된 것은 경기 성남시 분당구 서현역 흉기 난동사건이 계기가 됐습니다.    이 사건의 범인 최원종의 경우 당시 신상이 공개됐으나 운전면허증 사진과 검거당시 사진만 공개돼 '피의자 공개가 피의자에게 촬영 선택권을 주는 셈이 아니냐'는 지적이 있었습니다.         '분당 흉기난동 사건' 피의자 22세 최원종 〈사진=경찰 제공〉",백종훈 기자 (iam100@jtbc.co.kr)
아시아경제,"尹 ""초거대 AI 선도 위해 민·관 과감한 투자해야""…원팀 강조",2023.09.13. 오후 12:00,"비상경제민생회의, 초거대 AI 도약회의로 주재보편적 디지털 규범·질서 정립도 역설윤석열 대통령이 13일 챗GPT로 대표되는 학습 및 종합인지·판단·추론 능력을 탑재한 인공지능(AI) 산업과 관련해 ""국내 초거대 AI가 글로벌 무대로 뻗어나갈 수 있도록 과감한 투자를 지속해달라""고 주문했다. AI 규범 분야에서 한국이 주도적 역할을 하게 된 만큼 실질적인 산업 분야에서 세계 시장을 주도하기 위해 정부와 민간이 원팀으로 뛰어야 한다는 취지로 풀이된다.윤 대통령은 이날 오전 청와대 영빈관에서 '대한민국 초거대 AI 도약 회의(제20차 비상경제민생회의)'를 열고 초거대 AI 산업 육성방안을 논의한 자리에서 ""최근 우리 기업들 역시 독자적인 초거대 인공지능을 연이어 출시하고 있다""며 이같이 밝혔다. 정부는 지난 4월부터 AI 영재고 설립 추진, 첨단 AI 관련 반도체 산업 지원 등 미래전략산업으로 육성하기 위한 재정 3901억원을 투입하기로 한 상태다. AI 산업 자체가 승자독식 특성을 가지고 있어 국가 경제·안보와 직결된 과제지만, 국가의 지원뿐만 아니라 민간의 적극성도 중요하다는 게 윤 대통령의 생각이다. 윤 대통령은 ""정부의 지원은 기업의 과감한 투자와 도전에 마중물이 되는 것이다. 궁극적으로는 민간의 투자와 도전이 초거대 AI 경쟁을 좌우한다""고 당부했다.     [이미지출처=연합뉴스]윤 대통령은 AI 규범의 중요성도 강조했다. 윤 대통령은 ""디지털은 국경이 없고, 연결성과 즉시성을 갖고 있어 한 나라에만 적용되는 법제나 규제 가동을 통해 해결할 수 없다""며 ""그러기 위해 국제적으로 통용되는 보편적 디지털 규범과 질서를 정립하는 것이 필요하다""고 언급했다. 챗GPT 등장 이후 글로벌 빅테크는 초거대 AI 주도권을 확보하기 위해 막대한 자본을 투자하고 있지만, 초거대 AI 제품이 국제사회의 지지를 얻고 주도권을 확보하기 위해서는 관련 규범 마련에도 선도적인 역할을 해야 한다는 뜻으로 해석된다. 회의에 참석한 기업인들도 글로벌 동향과 정부의 디지털 선언에 발맞춰 디지털 대항해 시대의 '초거대 AI 출정'을 선언하며 공동연구 및 투자 협력 확대, 자발적인 AI 안전조치 마련, 국제 기준 준수 등 개방형 혁신을 통한 글로벌 진출을 다짐했다. 이어진 토론에서 AI 기업·연구자·학생 등은 우리나라 AI가 글로벌 시장에서 충분히 통할 수 있는 것에 공감하며, 국제 공동연구와 협력 네트워크 구축, AI 반도체 및 응용서비스 개발 지원, 도전적인 AI 연구·개발(R&D) 투자, AI 법체계 및 새로운 디지털 규범 마련 등을 정부에 요청했다. 앞서 윤 대통령은 회의에 앞서 별도로 설치된 부스를 방문해 ▲대규모 언어모델(LLM) 기반의 보고서 초안 작성 ▲장애인 대상 시각 보조 서비스 ▲화장품 패키징 디자인 창작 등 국내 기업이 개발한 초거대 AI 서비스를 직접 살펴보고, 기업 관계자와 개발자들을 격려했다.이날 회의에는 유영삼 SKT 대표, 배경훈 LG AI 연구원장, 하정우 네이버 클라우드 소장, 배숙민 KT AI 소장 등 AI 관련 업계 대표, 염재호 태재대 총장, 관련 전공 대학원생과 정보통신산업진흥원장 등 유관기관 관계자 70여명 참석했다. 이종호 과학기술정보통신부 장관, 박대출 국민의힘 정책위의장, 국민의힘 소속 장제원 국회 과학기술정보방송통신위원회 위원장, 박성중 국민의힘 과방위 간사, 최상목 대통령실 경제수석 등도 함께했다.     [이미지출처=연합뉴스]",이기민 기자 victor.lee@asiae.co.kr
뉴시스,"김기현, 오늘 대구 찾아 박근혜 전 대통령 예방",2023.09.13. 오전 10:02,박대출·구자근 동행…유영하 배석    [구미=뉴시스] 이무열 기자 = 박근혜 전 대통령이 15일 오전 경북 구미시 상모동 박정희 대통령 역사자료관을 찾아 시민들과 인사하고 있다. 2023.08.15. lmy@newsis.com[서울=뉴시스] 이지율 기자 = 김기현 국민의힘 대표가 13일 박근혜 전 대통령을 예방한다. 지난 3월 당 대표 취임 이후 처음이다. 김 대표는 이날 오후 4시30분 대구 달성군 박 전 대통령 사저를 찾아 박 전 대통령을 만난다. 당에선 박대출 정책위의장과 구자근 당대표 비서실장이 동행한다. 박 전 대통령 측근 유영하 변호사도 배석하는 것으로 전해졌다.사저 내에서 진행되는 면담은 비공개로 진행될 예정이다. 정치권에선 이날 예방을 보수 진영 통합 행보의 일환으로 보고 있다. 박 전 대통령이 2021년 특별사면으로 석방된 후 당 지도부와 만나는 건 이날이 처음이다.앞서 김 대표는 지난 4월19일 박 전 대통령 예방 일정을 잡았지만 순연한 바 있다．,이지율 기자(jool2@newsis.com)
매일경제,"박정훈 前 해병대 수사단장, 14일 공수처 출석…‘외압 의혹’ 본격 조사 들어간다",2023.09.12. 오후 3:34,"고발인 신분으로 공수처 출석해     채 모 상병 순직 사건을 수사하다 해임된 박정훈 전 해병대 수사단장이 지난 4일 오전 경기도 수원시 영통구 수원지방법원에서 열린 보직해임 집행정지 신청 첫 심문에 출석하며 전우들과 인사하고 있다. [출처=연합뉴스]‘수사 외압 의혹’을 폭로한 박정훈 전 해병대 수사단장(대령)이 오는 14일에 고발인 자격으로 고위공직자범죄수사처(공수처)에 다시 출석한다. 박 전 단장은 해병대 채 모 상병 순직 사건을 처리하는 과정에서 외압이 있었다며 지난달 국방부 검찰단장 등을 공수처에 고발한 바 있다.12일 법조계에 따르면 공수처 특별수사본부(부장검사 이대환)는 오는 14일 박 전 단장을 고발인 신분으로 불러 조사한다. 지난 8일 첫 출석 조사에서 고발 경위 등 개괄적인 내용을 파악한 공수처는 이번 조사에서 본격적인 ‘수사 외압 의혹’ 조사에 착수할 것으로 알려졌다.박 전 단장 측은 지난달 23일 국방부 김동혁 검찰단장과 유재은 법무관리관을 직권남용권리행사방해 혐의로 공수처에 고발했다. 채 상병 사건이 군사법원법상 군에서 수사할 수 없는 사건에 해당해 경찰에 적법하게 넘겼는데 국방부 검찰단이 영장 없이 자료를 회수해 직권을 남용했다는 게 박 전 단장 측의 주장이다.한편 12일 박 전 단장의 법률대리인 김정민 변호사는 이날 국방부 검찰단에 변호인 의견서를 제출했다. 김 변호사는 “최근 국회에서 국방부 차관, 법무관리관 등의 발언을 보니 이들이 군사법원법 개정안을 무시하겠다는 의사를 명확히 표시하고 있다”며 “단순한 법리 오해를 한 게 아니라 군사법원법 개정안을 무력화하는 방식을 강구한 것 같다는 의견을 제출했다”고 밝혔다.",김정석 기자(jsk@mk.co.kr)
중앙일보,"김정은 방러 직전, 푸틴은 ‘정제유 물량공세’…무기 거래 '미끼'로 사용했나",2023.09.13. 오후 1:00,"러시아가 지난 7월 핵·미사일 개발을 포함한 북한 산업의 '생명수'로 불리는 정제유 공급량을 전월 대비 5배 가량 대폭 늘린 것으로 나타났다.        유엔 안전보장이사회 대북제재위원회가 지난 11일(현지시간) 홈페이지에 게재한 보고서에 따르면 러시아는 지난 7월 총 1만933배럴(약 1360t)의 정제유를 북한에 수출했다. 지난 5월(2593배럴, 약 320t)·6월(2305배럴, 약 280t)만 해도 러시아의 대북 정제유 수출량은 3000배럴을 넘지 않았다.            세르게이 쇼이구 러시아 국방장관이 북한을 방문해 김정은을 만난 지난 7월 러시아의 대북 정제유 수출량은 전월 대비 5배 가까이 늘었다. 연합뉴스           수출량이 급증한 7월은 세르게이 쇼이구 러시아 국방장관이 방북해 김정은 북한 국무위원장과 무기 거래를 비롯한 구체적 군사 협력 방안을 논의한 시기다. 러시아가 포탄·탄약 등의 무기를 북한으로부터 수입하기 위해 정제유 공급량을 대폭 늘렸을 가능성이 제기되는 이유다.     실제 지난해 9월 게오르기 지노비예프 러시아 외무부 제1아주국장은 언론 인터뷰를 통해 “북한에 대한 원유·정제유 공급을 재개할 준비가 돼 있다”며 “북한 파트너들이 상품 거래를 재개할 준비가 되면 상응하는 양만큼의 원유와 석유제품 공급을 재개할 것”이라고 말했다.            전용열차를 타고 지난 12일 새벽 러시아 국경도시 하산에 도착한 김정은 북한 국무위원장. 연합뉴스           북한은 2017년 유엔 안전보장이사회 대북 제재 결의(2397호)에 따라 연간 정제유 수입 한도가 50만배럴(약 6만2500t)로 설정돼 있다. 당시 안보리 차원에서 상한선을 설정한 것은 중국의 반대 때문이었다. 정제유 수입 제재가 그만큼 북한 경제에 직결되는 치명타라는 뜻이기도 했다. 제대로 된 에너지 생산체계를 갖추지 못한 데다 대북 제재로 각종 에너지 자원 수입이 제한되는 북한 입장에서 정제유는 체제 유지를 위한 생명수로 불린다.        북한이 모라토리엄(핵실험 및 대륙간탄도미사일 시험 발사 유예)를 파기하고 탄도미사일 도발을 재개한 지난해 5월 미국이 추진한 추가 대북제재 결의 역시 핵심은 정제유 수입 한도 축소였다. 당시 결의엔 북한의 정제유 수입 한도를 기존 50만배럴에서 37만5000배럴(약 4만7000t)로 줄이는 내용이 담겼다. 러시아가 북·러 관계의 주요 계기마다 대북 정제유 수출량을 미끼로 활용하고 있다는 분석이 나오는 이유다.          러시아는 2019년 4월 김정은 북한 국무위원장과 블라디미르 푸틴 러시아 대통령의 첫 정상회담을 앞둔 시점에도 돌연 정제유 공급량을 대폭 늘렸다. 연합뉴스           러시아가 지난해 말 대북 정제유 수출을 재개한 것 역시 이를 북한과의 무기 거래를 활성화하기 위한 보조적 수단으로 염두에 뒀을 가능성이 있다. 러시아는 지난해 11월 기차를 북한으로 보내 컨테이너를 싣고 돌아오는 현장이 위성사진에 포착됐는데, 미국은 이를 북·러 무기 거래 정황으로 지목했다. 이후 지난해 12월 러시아는 코로나19의 여파로 중단됐던 대북 정제유 수출을 재개했고, 지난 1월엔 약 4만4655배럴(약 5600t)의 정제유를 북한에 공급했다.       2019년 4월 김정은과 블라디미르 푸틴 러시아 대통령의 첫 정상회담을 앞둔 시점에도 러시아는 대북 정제유 수출량을 대폭 늘렸다. 러시아는 2018년 월평균 1만2700배럴(약 1587t)의 정제유를 북한에 수출했는데, 2019년 1월(약 4만8000배럴, 5976t)과 2월(약 3만5000배럴, 4382t)엔 이례적으로 전년도 평균치의 3~4배에 달하는 양이 공급됐다. 이는 중국의 1~2월(약 9300배럴, 약 1170t)의 대북 정제유 공급량의 9배에 달하는 규모였다.",정진우 기자 dino87@joongang.co.kr
SBS,"윤 대통령, 오늘 2차 개각…국방 · 문체 · 여가장관 교체",2023.09.13. 오전 10:12,"윤석열 대통령이 오늘(13일) 국방부와 문화체육관광부, 여성가족부 장관을 교체하는 2차 개각을 단행할 것으로 알려졌습니다.대통령실 관계자는 오늘 오전 용산 대통령실에서 기자회견을 열고 이 같은 내용의 개각을 발표할 예정이라고 밝혔습니다.국방부 장관 후보자에는 신원식 국민의힘 의원, 문체부 장관 후보자에는 유인촌 대통령실 문화체육특보, 여가부 장관 후보자에는 김행 전 국민의힘 비상대책위원이 각각 유력한 것으로 전해졌습니다.",김기태 기자 KKT@sbs.co.kr
헤럴드경제,"與, 김어준-주진우-최경영 고발…“윤석열 명예 크게 훼손”",2023.09.13. 오전 11:14,"“허위 인터뷰를 사실인 것처럼 그대로 방송해 명예훼손”“김어준, ‘대장동 인식을 바꿀 수 있는 영상’이라 소개”“내부 고발 나온 시사 프로그램도 분석해 법적 조치”    국민의힘 윤두현 미디어정책조정특위 위원장과 김장겸 가짜뉴스·괴담방지특위 위원장 등이 7일 오전 서울 종로구 서울지방경찰청에 '대장동 허위 인터뷰 의혹'과 관련해 화천대유 대주주 김만배 씨와 신학림 전 언론노조 위원장, 해당 내용을 보도한 언론사 기자들을 고발하기에 앞서 고발 이유를 설명하고 있다. [연합][헤럴드경제=신현주 기자] 국민의힘 미디어정책조정특별위원회는 13일 방송인 김어준, 주진우 씨와 최경영 KBS기자를 고발하겠다고 밝혔다.위원장인 윤두현 의원은 이날 오전 국회에서 기자회견을 열고 “국민의힘은 라디오 시사 프로그램 진행자 TBS의 김어준 씨, KBS의 주진우 씨와 최경영 기자를 형법상 허위사실 적시에 의한 명예훼손과 정보통신망법 위반(명예훼손) 혐의로 내일 서울경찰청에 고발할 예정”이라고 했다.윤 의원은 “이들 세 사람은 공공재인 라디오 시사 프로그램을 진행하면서 김만배, 신학림 전 언론노조위원장의 허위 인터뷰 내용을 마치 사실인 것처럼 전제하고 허위 사실을 그대로 방송해 (윤석열) 당소속 대선후보의 명예를 크게 훼손했다”고 말했다.원영섭 국민의힘 미디어법률단장은 “김 씨는 지난해 3월 7일 (허위 인터뷰에 대해) ‘대장동에 대한 인식을 바꿀 수 있을 만한 영상’, ‘지금까지 언론들이 보도하던 대장동과 완전히 다른 이야기 아니냐’, ‘오늘 기준으로 가장 중요한 기사는 이것’이라고 발언했으며 3월 8일에는 ‘대선 이틀 전인데 이번 대선에서 크게 이슈가 된 사건의 당사자가 그간 해명한 내용과 다른 것이 나왔지 않냐’, ‘지금 나와야 할 기사의 주인공은 윤석열 당시 대선 후보여야 한다’며 대장동의 몸통이 윤 후보라는 이재명 당시 대선 후보 측의 주장과 똑 같은 허위 사실을 유포했다”고 전했다.국민의힘에 따르면 주 씨는 지난해 3월 7일 KBS라디오에서 “대장동 관련된 김만배 씨의 녹취록이 나왔는데 대선의 변수로 떠올랐다”고 발언했다. 최 기자 역시 이날 방송에서 “주임 검사가 커피를 타 줬고 첫 조사와 달리 되게 잘해줬다고 말했는데, 당시 윤석열 검사는 담당과장이었다. 어젯밤 뉴스타파에서 김만배가 자신의 지인인 신 전 언론노조위원장에게 말한 내용도 일치했다”고 말했다.원 단장은 “‘대선공작 게이트’ 관련 허위 날조 인터뷰에 기반한 보도와 시사 프로의 양이 워낙 많아 분석에 오랜 시간이 걸리고 있다”며 “이번에는 라디오 시사 프로그램을 중점적으로 모니터링 해 허위 날조 인터뷰를 사실인 것처럼 과도하게 표현하거나 인용한 여러 사례 중 심각성이 유독 심한 위 세 사람을 우선 고발하기로 했다”고 했다.그는 “이어 내부고발이 나온 시사 프로그램에 대해서도 철저히 분석해 법적 조치를 취할 계획”이라고 강조했다.",신현주 newkr@heraldcorp.com
